text
"ecole: apidon academy of science [aas] | faculté ou ufr: aas aas | nom de la filière: assistance de direction bilingue specialise | liste des séries autorisées: a4, a5, g1, g2, bs, bc, tvc | contraintes d'éligibilité: a4: aucune contrainte a5: aucune contrainte g1: aucune contrainte g2: aucune contrainte bs: aucune contrainte bc: aucune contrainte tvc: aucune contrainte | nombre total de place: non spécifié | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: apidon academy of science [aas] | faculté ou ufr: aas aas | nom de la filière: comptabilité contrôle audit | liste des séries autorisées: d, g1, g2, bs, bc, tvc | contraintes d'éligibilité: d: aucune contrainte g1: aucune contrainte g2: aucune contrainte bs: aucune contrainte bc: aucune contrainte tvc: aucune contrainte | nombre total de place: non spécifié | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: apidon academy of science [aas] | faculté ou ufr: non spécifié | nom de la filière: statistique de gestion | liste des séries autorisées: c, d, g2, tvc | contraintes d'éligibilité: c: aucune contrainte d: aucune contrainte g2: aucune contrainte tvc: aucune contrainte | nombre total de place: non spécifié | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: burkina institute of technology [bit] | faculté ou ufr: bit bit | nom de la filière: génie electrique spécialité energies renouvelables. | liste des séries autorisées: d, f2, mavelec, es, fcl | contraintes d'éligibilité: d: aucune contrainte f2: aucune contrainte mavelec: aucune contrainte es: aucune contrainte fcl: aucune contrainte | nombre total de place: 9 | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: burkina institute of technology [bit] | faculté ou ufr: bit bit | nom de la filière: génie mécanique specialite mecanisation agricole et miniere | liste des séries autorisées: f1, f4, gctp, d, gcc | contraintes d'éligibilité: f1: aucune contrainte f4: aucune contrainte gctp: aucune contrainte d: aucune contrainte gcc: aucune contrainte | nombre total de place: 9 | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: burkina institute of technology [bit] | faculté ou ufr: bit bit | nom de la filière: génie mécanique, option: architecture; | liste des séries autorisées: c, d, f1, f2, f3, f4, agri | contraintes d'éligibilité: c: aucune contrainte d: aucune contrainte f1: aucune contrainte f2: aucune contrainte f3: aucune contrainte f4: aucune contrainte agri: aucune contrainte | nombre total de place: non spécifié | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: burkina institute of technology [bit] | faculté ou ufr: non spécifié | nom de la filière: informatique spécialité informatique et entrepreneuriat | liste des séries autorisées: d, f2, f3, h, telecom | contraintes d'éligibilité: d: aucune contrainte f2: aucune contrainte f3: aucune contrainte h: aucune contrainte telecom: aucune contrainte | nombre total de place: 9 | conditions particulières: non spécifié | matières dominantes: non spécifié | matières importantes de la terminale: non spécifié | niveau de sortie: non spécifié | débouchés: non spécifié | informations complémentaires: non spécifié"
"ecole: centre universitaire de banfora [cup b] | faculté ou ufr: cu/banfora cu/banfora | nom de la filière: droit | liste des séries autorisées: a4, a5, d, g1, g2 | contraintes d'éligibilité: a4: aucune contrainte a5: aucune contrainte d: note_fra>=12 and note_philo>=10 g1: note_fra>=12 and note_philo>=10 g2: note_fra>=12 and note_philo>=10 | nombre total de place: 125 | débouchés: non spécifié | informations complémentaires: lettres modernes lm centre universitaire de banfora cup b"
"ecole: centre universitaire de banfora [cup b] | faculté ou ufr: cu/banfora cu/banfora | nom de la filière: lettres modernes | liste des séries autorisées: a4, a5, d, g1, g2 | contraintes d'éligibilité: a4: aucune contrainte a5: aucune contrainte d: aucune contrainte g1: note_fra>=12 g2: note_fra>=12 | nombre total de place: 125 | matières dominantes: linguistique/grammaire littératures sémiotique | matières importantes de la terminale: linguistique/grammaire littératures sémiotique | niveau de sortie: licence | débouchés: poursuite des études en master enseignement dans les lycées journalisme/communication métiers de l’édition et de la rédaction révision/correction de texte métiers des arts (théâtre, cinéma, dessin, bd, etc.) animateur culturel chroniqueur l ittéraire critique littéraire critique de cinéma médiation culturelle | informations complémentaires: mathematique physique chimie informatique (mpci) mpci centre universitaire de banfora cup b"
"ecole: centre universitaire de banfora [cup b] | faculté ou ufr: cu/banfora cu/banfora | nom de la filière: mathematique physique chimie informatique (mpci) | liste des séries autorisées: c, d, e, f1, f2, f3, f4, h | contraintes d'éligibilité: c: aucune contrainte d: aucune contrainte e: aucune contrainte f1: aucune contrainte f2: aucune contrainte f3: aucune contrainte f4: aucune contrainte h: aucune contrainte | nombre total de place: 90 | informations complémentaires: sciences agricole et de genie alimentaire saga centre universitaire de banfora cup b"
"ecole: centre universitaire de banfora [cup b] | faculté ou ufr: non spécifié | nom de la filière: sciences agricole et de genie alimentaire | liste des séries autorisées: c, d | contraintes d'éligibilité: c: aucune contrainte d: aucune contrainte nb: être bachelier de l'année en cours avec au plus 22 ans ! | nombre total de place: 60 | matières dominantes: svt, physique, chimie | matières importantes de la terminale: svt, physique, chimie | niveau de sortie: licence | débouchés: · technicien productions agricoles, animale et services associés · responsable conduite de cultures protégées et élevage intensif · technicien en technologie et économie des secteurs agricole et production animale ; · responsable en commerce et gestion pou r l'agriculture, l’élevage et l'agroalimentaire ; · agriculteur, éleveur exploitant ; · conseiller agricole et élevage ; · régisseur d’exploitation agricole et d’élevage ; · transformation de produit agricole | informations complémentaires: non spécifié"
